2026-07-09 09:15:14,377 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 09:15:14,381 | INFO | Execution time of test_update_repo is: 0.49 seconds
2026-07-09 09:15:14,384 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 09:15:14,385 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 09:15:14,953 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 09:15:14,959 | INFO | Execution time of test_get_last_commit is: 0.57 seconds
2026-07-09 09:15:14,962 | INFO | Request: POST https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs 
2026-07-09 09:15:15,320 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs: 422
2026-07-09 09:15:15,475 | INFO | Execution time of test_create_branch is: 0.51 seconds
2026-07-09 09:15:43,710 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:15:44,138 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:15:44,143 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 09:15:44,145 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 09:15:44,608 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 09:15:44,612 | INFO | Execution time of test_read_repo is: 0.47 seconds
2026-07-09 09:15:44,615 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 09:15:45,119 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 09:15:45,125 | INFO | Execution time of test_update_repo is: 0.51 seconds
2026-07-09 09:15:45,129 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 09:15:45,131 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 09:15:45,633 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 09:15:45,639 | INFO | Execution time of test_get_last_commit is: 0.51 seconds
2026-07-09 09:15:45,641 | INFO | Request: POST https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs 
2026-07-09 09:15:46,428 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs: 201
2026-07-09 09:15:46,433 | INFO | Execution time of test_create_branch is: 0.79 seconds
2026-07-09 09:20:04,260 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:20:05,633 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:20:05,640 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 09:20:05,642 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 09:20:07,676 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 09:20:07,685 | INFO | Execution time of test_read_repo is: 2.04 seconds
2026-07-09 09:20:07,687 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 09:20:08,265 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 09:20:08,269 | INFO | Execution time of test_update_repo is: 0.58 seconds
